nif,nombre,apellido1,apellido2,fecha_nacimiento,telefono,email,direccion_completa,codigo_postal,empresa
05264991S,IRINA,PALOMO,ESPINOSA,28/4/1996,738807257,b1ai546p@yahoo.es,"Campo Iglesia, 56, 47908, Boecillo(Valladolid)",47908,FALSE
22647449Q,BLANCA,AMADOR,MARIN,26/7/2000,644400527,k601irmg7@aim.com,"Plaza de España, 93, 47244, Villasexmir(Valladolid)",47244,FALSE
95164577F,ALEXANDER,LIN,GALLARDO,20/7/1983,716781887,4a0pfclxk@witty.com,"Barrio Mayor, 98, 35396, Oliva, La(Palmas, Las)",35396,FALSE
H97722805,MAXI SL,NULL,NULL,NULL,795965550,w0zmxufpm@teacher.com,"Estrada Iglesia, 37, 08167, Castellar del Riu(Barcelona)",8167,TRUE
61381574W,MERCEDES,CARDONA,SOSA,7/2/1966,608016595,23notzd48@lycos.co.uk,"Camino Iglesia, 74, 13619, Granátula de Calatrava(Ciudad Real)",13619,FALSE
60130097R,NEUS,ROCA,CACERES,28/7/1984,601041678,5rw5jtmf8@libero.it,"Passatge Horno, 31, 42820, Fuentecantos(Soria)",42820,FALSE
81014190W,JOSEP MARIA,CHACON,CABALLERO,1/12/1972,749356990,jndt5utjj@gmail.com,"Estrada Nueva, 82, 11822, Línea de la Concepción, La(Cádiz)",11822,FALSE
23088803T,RICARDO,RIOS,RODRIGUEZ,28/11/1959,776300724,2cdcxd56@scientist.com,"Carrer Catalunya, 6, 44396, Alcaine(Teruel)",44396,FALSE
21948988L,AMPARO,RUIZ,VILLALBA,22/7/1985,659687658,m23f8utwr9@netscape.net,"Carrer de España, 12, 37236, Sanchón de la Ribera(Salamanca)",37236,FALSE
73459553Z,UNAI,DUQUE,SAAVEDRA,28/5/1967,710241812,tz2c1xyb3@gmail.com,"Carrera Real, 76, 19582, Albendiego(Guadalajara)",19582,FALSE
39345030B,BARBARA,VICENTE,DE LA CRUZ,10/8/1960,704487046,7stimkt4n@btinternet.com,"Urbanización Iglesia, 91, 45663, Casar de Escalona, El(Toledo)",45663,FALSE
74539963E,ADELAIDA,SERNA,ALFONSO,17/9/1989,667137840,h8kpakpgp@gmail.com,"Jardines de España, 2, 48011, Zaratamo(Bizkaia)",48011,FALSE
43948611G,CONSOLACION,SALAZAR,ROCA,19/11/1979,672883585,4f620xzza@lycos.es,"Sector de España, 2, 28617, Navalafuente(Madrid)",28617,FALSE
27789754G,KEVIN,IGLESIAS,MOYANO,31/9/1960,712324159,hmzbxca7@hotmail.com,"Ronda Pedralbes, 15, 08625, Sant Feliu Sasserra(Barcelona)",8625,FALSE
S4959342I,ANNA SA,NULL,NULL,NULL,676923512,lw1qteltj@aol.com,"Kalea Nueva, 84, 28913, Robregordo(Madrid)",28913,TRUE
37800276Y,MANUEL,SANTOS,SOLE,17/3/1998,675047828,gu7twyd6q@lycos.co.uk,"Glorieta Madrid, 1, 46726, Andilla(Valencia/València)",46726,FALSE
29213741S,GUADALUPE,VILLAR,SANTOS,24/6/1975,603308486,7o1ozm9scp@teacher.com,"Ronda Mayor, 26, 43524, Vila-rodona(Tarragona)",43524,FALSE
83843220D,JUAN MANUEL,SALGUERO,WANG,29/3/1982,715961621,0yp33q5rbl@gmail.com,"Plaça Pedralbes, 15, 03136, Xaló(Alicante/Alacant)",3136,FALSE
20400356T,LEO,VICENTE,PENA,21/7/1981,641431674,le36tw9q3@talk21.com,"Parque Real, 78, 28354, Velilla de San Antonio(Madrid)",28354,FALSE
68604671H,SANDRA,BORREGO,ESTEVE,14/10/1971,736205186,frmaapa5f7@lycos.de,"Kalea Pedralbes, 37, 25706, Gimenells i el Pla de la Font(Lleida)",25706,FALSE
87996467P,MATIAS,VELAZQUEZ,SIMON,23/10/1984,791014311,5ekqda45wf@libero.it,"Sector de España, 7, 25487, Preixana(Lleida)",25487,FALSE
02843289Y,VICTORIA,GALVAN,RAMOS,23/7/1995,631496309,53dwwu6u3g@lycos.de,"Jardins Nueva, 89, 45678, Almendral de la Cañada(Toledo)",45678,FALSE
11393527V,JOSEP MARIA,DE LA CRUZ,BELMONTE,15/7/1951,787754426,nvmyprb6@hotmail.com,"Bulevar Horno, 92, 33314, Aller(Asturias)",33314,FALSE
05111040A,HERMINIA,VILLAR,BARTOLOME,17/2/1951,695116650,cmf4a7cd@blu.it,"Jardines Pedralbes, 42, 43098, Vila-seca(Tarragona)",43098,FALSE
72279261J,ALICIA,LOZANO,ARCE,6/1/1962,632427425,62af2u0v1@iname.com,"Parque Madrid, 51, 50826, Nonaspe(Zaragoza)",50826,FALSE
18801499B,ESTER,ROJO,BELTRAN,30/1/1960,628114132,n38uwanub@witty.com,"Barrio Catalunya, 48, 10230, Carcaboso(Cáceres)",10230,FALSE
72037871P,JOSE FERNANDO,ROLDAN,SAIZ,10/7/1954,716787675,6c6qqqc5g7@msn.com,"Barrio Iglesia, 14, 05411, Bernuy-Zapardiel(Ávila)",5411,FALSE
66851731T,MARIA FERNANDA,RINCON,ZAMORA,20/7/1993,610367995,g0v9p487u@libero.it,"Travesía Iglesia, 23, 20958, Zestoa(Gipuzkoa)",20958,FALSE
F90033721,MAGDA SL,NULL,NULL,NULL,675910130,666dn8na@whoever.com,"Calle Madrid, 9, 47659, Villabrágima(Valladolid)",47659,TRUE
33025903L,MARIA TERESA,VALDES,SOLA,24/10/1974,737128313,kjeggslrm@scientist.com,"Enparantza Catalunya, 60, 25159, Almatret(Lleida)",25159,FALSE
26736844B,VIOLETA,PEINADO,PASTOR,4/10/1963,636728564,vdopj050k@blu.it,"Camino de España, 53, 47695, Castrodeza(Valladolid)",47695,FALSE
45625627K,ANTONIO JAVIER,VALLE,VAQUERO,24/1/1960,607395183,q5thyj8p@btinternet.com,"Estrada Mayor, 66, 37387, Vellés, La(Salamanca)",37387,FALSE
22601006X,MATILDE,MURILLO,ZAMORA,24/2/1985,781700186,o3f6nv45w@journalism.com,"Carretera Real, 1, 12537, Artana(Castellón/Castelló)",12537,FALSE
38926825S,MARTI,GALVEZ,PIZARRO,16/10/1970,608552282,plx3axhq9@btinternet.com,"Glorieta de España, 29, 05752, Vega de Santa María(Ávila)",5752,FALSE
38311312M,JAIME,IZQUIERDO,SAAVEDRA,21/10/1963,725004118,37yhc8prlp@whoever.com,"Urbanización Iglesia, 15, 33604, Siero(Asturias)",33604,FALSE
54738964E,FRANCESC,VELA,SALCEDO,6/6/1961,725869855,ty2hkxuye@lycos.it,"Pasaje de España, 74, 10068, Benquerencia(Cáceres)",10068,FALSE
E91466573,TOMASA SL,NULL,NULL,NULL,789779355,kqj025ie1@btinternet.com,"Pasaje Real, 25, 26707, Santurdejo(Rioja, La)",26707,TRUE
29001552R,GISELA,GALLARDO,CASTELLANOS,7/3/1951,613313360,isqbu4izdz@earthling.net,"Barrio Iglesia, 28, 27865, Taboada(Lugo)",27865,FALSE
01789998T,AINA,BERMEJO,AZNAR,2/5/1975,704493806,j06shuu22z@caramail.com,"Poblado Mayor, 63, 10700, Hinojal(Cáceres)",10700,FALSE
12888359X,BERNARDO,PAVON,NOGUERA,23/12/1967,624817466,3fexetkv7@iname.com,"Placeta Nueva, 42, 06298, Coronada, La(Badajoz)",6298,FALSE
42836885Y,JESUS MANUEL,VELA,LUQUE,9/8/1971,763387204,jttbzilw@whoever.com,"Travessera Pedralbes, 8, 42056, Deza(Soria)",42056,FALSE
75798810X,ESMERALDA,CORDOBA,GALINDO,20/2/1989,765988397,a50iacswb@unforgettable.com,"Camí Catalunya, 62, 42314, Tardelcuende(Soria)",42314,FALSE
91715188C,PAU,MOYA,CARRASCO,15/3/1963,684929579,knnbsewt@netscape.net,"Enparantza Madrid, 86, 05615, Manjabálago y Ortigosa de Rioalmar(Ávila)",5615,FALSE
79698157Y,ARMANDO,OCHOA,MOHAMED,7/9/1975,627206627,x3fkqqcz@lycos.co.uk,"Edificio de España, 71, 24124, Maraña(León)",24124,FALSE
F49637648,ISMAOL,NULL,NULL,NULL,636702466,s61z68y7n@yahoo.es,"Alameda de España, 88, 44085, Castellote(Teruel)",44085,TRUE
80517906N,IZAN,MORAL,GIMENO,4/3/1977,753460662,4dhmfv27@lycos.es,"Ronda Catalunya, 10, 23184, Villardompardo(Jaén)",23184,FALSE
50380872Q,REBECA,BRAVO,PLAZA,3/6/1970,651936436,qxw64jnnc@scientist.com,"Jardins Pedralbes, 91, 07247, Estellencs(Balears, Illes)",7247,FALSE
18927552R,MILAGROS,ALCANTARA,MONTES,31/7/1963,661143569,dx30brvo7m@iname.com,"Parque Real, 36, 47721, Olivares de Duero(Valladolid)",47721,FALSE
07843549C,MERITXELL,ESCOBAR,VILLANUEVA,3/3/1988,736215409,oo1hbuyb7@msn.com,"Ronda Horno, 91, 34131, Congosto de Valdavia(Palencia)",34131,FALSE
07152774G,EMILIO,BONILLA,CARVAJAL,31/11/1955,740156439,k201jpc7m@talk21.com,"Estrada Catalunya, 58, 34641, Palencia(Palencia)",34641,FALSE
23094436K,JUAN,VILLEGAS,LLORENTE,31/10/1968,618496839,n8qctbh5@teacher.com,"Sector Catalunya, 93, 19731, Arbeteta(Guadalajara)",19731,FALSE
62602000W,MARIA JOSEFA,ESTEBAN,PAZOS,11/9/1961,652187994,w3bpyak6cd@lycos.at,"Paseo Nueva, 44, 17719, Campelles(Girona)",17719,FALSE
F55235899,JAMUCO,NULL,NULL,NULL,628422828,pwi3swkzz@lycos.es,"Calle Horno, 17, 02935, Alcalá del Júcar(Albacete)",2935,TRUE
48686756B,FLORENTINA,GIMENO,MATEO,16/7/1978,781982176,v9llrfs6k@yahoo.com,"Avenida Madrid, 82, 29563, Almargen(Málaga)",29563,FALSE
60686130D,MIGUEL,MARTOS,LUQUE,5/3/1950,781402155,1afd4mte4@unforgettable.com,"Praza Catalunya, 21, 17630, Agullana(Girona)",17630,FALSE
39483729C,LUCIANO,REAL,AGUILERA,31/3/1958,761593778,f6r4wxzisp@lycos.at,"Avenida Nueva, 81, 16242, Sotorribas(Cuenca)",16242,FALSE
19699760F,CARLOS JAVIER,ALCALA,DOMENECH,10/8/1953,633865275,gfz829qa@iname.com,"Barrio Pedralbes, 40, 25924, Biosca(Lleida)",25924,FALSE
62279349H,AGUSTIN,ARCE,SANCHEZ,11/8/1999,723561731,pcq2dzqzo@mail.com,"Alameda Real, 94, 44910, Tornos(Teruel)",44910,FALSE
84355522D,TOMASA,VENTURA,SERRANO,3/9/1999,798396326,lg6sn2dr8l@libero.it,"Placeta de España, 49, 18406, Albuñuelas(Granada)",18406,FALSE
27357608M,PASCUAL,ROSA,PARRA,17/2/1959,786115979,68w8krg14j@yahoo.es,"Travesía Madrid, 78, 37185, Serradilla del Llano(Salamanca)",37185,FALSE
46461965X,MARIA CANDELARIA,CARRION,QUINTERO,4/7/1966,775997129,m87006zrj@scientist.com,"Avinguda Iglesia, 20, 19263, Viana de Jadraque(Guadalajara)",19263,FALSE
D71794689,NICMO,NULL,NULL,NULL,740380302,42n11eqxe@iname.com,"Avinguda Real, 75, 29839, Torrox(Málaga)",29839,TRUE
18244327Z,MARIA NIEVES,TOLEDO,REDONDO,10/4/1950,793744215,844yuderg@mail.com,"Travessera Pedralbes, 4, 43873, Vimbodí i Poblet(Tarragona)",43873,FALSE
32097902E,DANIEL,PEREIRA,SALCEDO,28/7/1953,748502381,spe1rr7db@usa.com,"Travessera Real, 72, 41025, San Nicolás del Puerto(Sevilla)",41025,FALSE
15528535Q,AINA,SANTAMARIA,AVILA,9/5/1980,747915404,s84ks7hnm@hotmail.com,"Calleja Pedralbes, 97, 04638, Alcóntar(Almería)",4638,FALSE
46802383M,RAMIRO,ROSALES,ROVIRA,25/3/1998,718302922,a44j56nn@email.com,"Plazuela Nueva, 3, 23042, Quesada(Jaén)",23042,FALSE
64972460J,JUANA MARIA,ROIG,PINTO,8/10/1970,721973711,8mxl15z7b@msn.co.uk,"Travessera Horno, 55, 16952, Solera de Gabaldón(Cuenca)",16952,FALSE
68514616P,ISIDORO,QUINTANA,CASTILLA,28/12/1994,733347747,0kv6t82v6@email.com,"Calle Iglesia, 72, 22612, Alcalá del Obispo(Huesca)",22612,FALSE
65664512H,ABEL,RICO,PEÑA,9/10/1976,609667637,lc4p48sq@hotmail.com,"Camino Iglesia, 5, 48390, Bedia(Bizkaia)",48390,FALSE
90156125N,OSCAR,CARBALLO,CALLEJA,27/11/1999,798416307,5ru6mbbxef@btinternet.com,"Praza Mayor, 1, 50905, Santa Cruz de Grío(Zaragoza)",50905,FALSE
44678471M,IRENE,CASTELLANOS,CAMPOS,12/3/2001,785385838,zymkbzof3f@hotmail.com,"Polígono Iglesia, 27, 15061, Pobra do Caramiñal, A(Coruña, A)",15061,FALSE
40963238P,ALFREDO,MIRANDA,SANTANA,16/6/1969,776583942,cco75npgo0@aol.com,"Campo Pedralbes, 82, 04777, Macael(Almería)",4777,FALSE
72329994P,RICARDO,CABELLO,LORENTE,1/6/1981,728503276,637ddx2xvg@blu.it,"Cuesta Pedralbes, 20, 18738, Colomera(Granada)",18738,FALSE
E24462947,SAJ PUL SA,NULL,NULL,NULL,755442604,7icf8tven@hotmail.com,"Parque Iglesia, 83, 49921, Mahide(Zamora)",49921,TRUE
92022420H,BARTOLOME,SAINZ,NICOLAS,20/4/1967,743608213,wxsuluphy@writeme.com,"Poblado Nueva, 43, 45769, Valdeverdeja(Toledo)",45769,FALSE
38936937F,LUIS ANGEL,CASTILLO,PIZARRO,22/5/1976,639487342,m8sl3l6aj@journalism.com,"Poblado de España, 66, 18543, Orce(Granada)",18543,FALSE
19836190R,CONSOLACION,TOMAS,BARTOLOME,7/3/1985,793516559,rjo0iasw@talk21.com,"Carrer de España, 9, 08813, Cercs(Barcelona)",8813,FALSE
22026919A,AMAIA,AGUDO,GODOY,3/1/1961,645130471,4kwajfhlcf@email.com,"Pasaje Iglesia, 72, 19212, Milmarcos(Guadalajara)",19212,FALSE
55158065V,CARMELO,SILVA,CARRASCO,4/4/1975,784786604,684dbdfx@aol.com,"Parque Horno, 21, 47614, Melgar de Abajo(Valladolid)",47614,FALSE
49027813R,MARIA INES,MESA,CORRAL,2/6/1994,785427210,o49iusf5n9@scientist.com,"Barrio Catalunya, 62, 45691, Mascaraque(Toledo)",45691,FALSE
06570957H,ELSA,ROBLES,VERA,2/8/1994,678777111,s6l4r8wjl@msn.com,"Edificio Real, 29, 33414, Degaña(Asturias)",33414,FALSE
14434466B,LUCAS,PAEZ,OTERO,16/1/1981,641503237,dnq4c00f3@scientist.com,"Kalea Mayor, 75, 08331, Franqueses del Vallès, Les(Barcelona)",8331,FALSE
03989876C,SAID,AMAYA,ZAMORA,10/2/1953,682438320,nm8r8e528@blu.it,"Plaza Real, 73, 12143, Cabanes(Castellón/Castelló)",12143,FALSE
31771319Q,LUIS FERNANDO,POZO,ROSADO,28/10/1989,672280173,58lwd5fz@talk21.com,"Via Iglesia, 15, 46129, Albaida(Valencia/València)",46129,FALSE
28770168C,CONSUELO,CATALAN,SAAVEDRA,19/11/1959,768931672,hiuk1b04u@earthling.net,"Campo Mayor, 81, 08768, Sant Sadurní d'Anoia(Barcelona)",8768,FALSE
W4696065D,FILOCAMPOL SL,NULL,NULL,NULL,672268528,mlm00nu49@lycos.it,"Carretera Catalunya, 43, 05491, Aldehuela, La(Ávila)",5491,TRUE
16918693P,VICTORIA,PLAZA,ROMERA,29/4/1982,706120082,4p4rwy95x@libero.it,"Avenida Nueva, 34, 10189, Aldea del Cano(Cáceres)",10189,FALSE
44679430K,GEMA,PONS,SEVILLA,15/11/1959,760488753,4utd65jwy@usa.com,"Cuesta Iglesia, 78, 49869, Villalobos(Zamora)",49869,FALSE
01903267V,GONZALO,QUINTERO,FLORES,1/1/1977,702746858,6bcx2knbg@lycos.nl,"Jardins Nueva, 68, 04143, Vélez-Rubio(Almería)",4143,FALSE
40674986S,MIREIA,RIVAS,ALCARAZ,26/6/1993,711677522,cmyffi13i@post.com,"Travessera Real, 34, 03178, Llíber(Alicante/Alacant)",3178,FALSE
90726543F,JUAN MIGUEL,PUENTE,GIMENO,11/9/1986,791891276,twi8n7xoi@witty.com,"Barrio Pedralbes, 63, 44595, Josa(Teruel)",44595,FALSE
14488011N,AURELIO,NAVARRO,LAZARO,28/8/1961,638236048,1eu48lrv8@aol.com,"Polígono de España, 92, 28870, Parla(Madrid)",28870,FALSE
81643172A,LUIS ANTONIO,PADILLA,ANTON,25/3/1964,602387898,1mjcgpl2a@netscape.net,"Bulevar Iglesia, 2, 09904, Olmedillo de Roa(Burgos)",9904,FALSE
53584143P,VERONICA,GARRIDO,SALGADO,11/5/1997,725162121,5l22sa6dr@lycos.co.uk,"Plaza Madrid, 76, 47513, Portillo(Valladolid)",47513,FALSE
22429821Z,MARIA INMACULADA,BERMUDEZ,DOMENECH,4/7/1959,623903850,8orw9ksn2@witty.com,"Carretera Catalunya, 36, 04317, Tres Villas, Las(Almería)",4317,FALSE
42061040C,JOSE ALBERTO,CAMPOS,PIÑERO,11/7/1984,750063974,4ev5jtvzq@gmail.com,"Plazuela Iglesia, 61, 49065, Villárdiga(Zamora)",49065,FALSE
56497613E,PILAR,COLLADO,PENA,17/4/1950,728280183,4yd1gzaok@lycos.it,"Urbanización Pedralbes, 47, 31345, Sangüesa/Zangoza(Navarra)",31345,FALSE
